Site,Date,Month,Year,Pair,Plot,Treatment,Entomobryidae,Hypogastruidae,Isotomidae,Onychuridae,Smithuridae,Tomoceridae,Araneae,Chilopoda,Opiliones,Pseudoscorpinada,Mesostigmata,Orbatida,Prostigmata,Astigmata,Carabidae,Hyphae,Garlic_Mustard,Bare_Ground,Litter_Layer,Moss,Course_Woody_Debris,Herbaceous,Shrub,Trees,GM_Stem_Number,Fungivores,Predators
Derwen Mawr,8-Jul,July,2014,1,1,Invaded,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0.49,6,2,2,1,2,3,1,1,104,6,1
Derwen Mawr,12-Aug,August,2014,1,1,Invaded,3,0,0,1,0,0,0,0,0,0,1,19,1,0,0,0,6,2,2,1,2,3,1,1,104,23,2
Derwen Mawr,8-Jul,July,2014,2,3,Invaded,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,5,2,2,1,2,3,1,1,110,5,1
Derwen Mawr,12-Aug,August,2014,2,3,Invaded,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0.49,5,2,2,1,2,3,1,1,110,7,0
Derwen Mawr,8-Jul,July,2014,3,5,Invaded,2,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,6,2,2,1,2,3,1,1,105,10,1
Derwen Mawr,12-Aug,August,2014,3,5,Invaded,0,0,0,0,0,0,0,1,0,0,2,24,0,0,0,0,6,2,2,1,2,3,1,1,105,24,2
Derwen Mawr,8-Jul,July,2014,4,7,Invaded,1,0,1,0,0,0,0,0,0,0,6,15,0,0,0,0,5,2,2,1,3,3,1,1,105,17,6
Derwen Mawr,12-Aug,August,2014,4,7,Invaded,1,0,2,1,0,0,0,0,0,0,5,22,0,0,0,0,5,2,2,1,3,3,1,1,105,26,5
Derwen Mawr,8-Jul,July,2014,5,9,Invaded,1,0,2,0,0,0,0,0,0,0,4,25,0,0,0,0,5,2,2,1,2,3,1,1,115,28,4
Derwen Mawr,12-Aug,August,2014,5,9,Invaded,3,0,0,2,0,0,0,0,0,0,1,37,0,0,0,0.49,5,2,2,1,2,3,1,1,115,42,1
Greene Valley,7-Jul,July,2014,6,11,Invaded,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0.98,4,3,3,1,3,3,1,1,120,4,1
Greene Valley,5-Aug,August,2014,6,11,Invaded,0,0,5,2,0,0,0,0,0,0,1,2,0,0,0,0.97,4,3,3,1,3,3,1,1,120,9,1
Greene Valley,7-Jul,July,2014,7,13,Invaded,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.97,4,2,3,1,2,3,1,1,118,4,1
Greene Valley,5-Aug,August,2014,7,13,Invaded,1,0,0,2,0,0,0,0,0,0,3,6,0,0,0,0,4,2,3,1,2,3,1,1,118,9,3
Greene Valley,7-Jul,July,2014,8,15,Invaded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,4,2,2,1,4,4,1,1,92,1,0
Greene Valley,5-Aug,August,2014,8,15,Invaded,12,0,1,4,0,0,0,3,0,0,5,3,0,0,0,0.49,4,2,2,1,4,4,1,1,92,20,5
Greene Valley,7-Jul,July,2014,9,17,Invaded,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,2,2,1,3,4,1,1,111,3,0
Greene Valley,5-Aug,August,2014,9,17,Invaded,1,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,4,2,2,1,3,4,1,1,111,4,3
Greene Valley,7-Jul,July,2014,10,19,Invaded,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.49,4,3,3,1,2,4,1,1,56,4,0
