Plot ,Treatment,Date,Year,Time,Plant,Soil,Fungicide,Entomobryidae,Hypogastruidae,Isotomidae,Onychuridae,Smithuridae,Tomoceridae,Orbatida,Prostigmata,Astigmata,Araneae,Opiliones,Chilopoda,Mesostigmata,Fungivores,Predators,Collembola,Hyphae
12,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.591172753
21,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,1,0,1,0,10,0,0,0,0,0,0,12,0,2,0
23,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0
29,T1,27-Jun-14,2014,1,LF,Control ,No,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0.197057584
12,T1,30-Jul-14,2014,2,LF,Control ,No,1,0,0,0,0,0,7,0,0,0,0,0,0,8,0,1,0
21,T1,30-Jul-14,2014,2,LF,Control ,No,4,0,2,0,1,0,1,0,0,0,0,0,0,8,0,7,0.290879772
23,T1,30-Jul-14,2014,2,LF,Control ,No,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.872639316
29,T1,30-Jul-14,2014,2,LF,Control ,No,2,0,2,0,0,0,1,0,0,0,0,0,1,5,1,4,0
12,T1,28-Aug-14,2014,3,LF,Control ,No,1,0,1,0,0,0,1,1,0,0,0,0,0,3,1,2,0
21,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
23,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,3,0
29,T1,28-Aug-14,2014,3,LF,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0
12,T1,28-May-15,2015,4,LF,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2.398225932
21,T1,28-May-15,2015,4,LF,Control ,No,0,0,4,0,1,0,2,0,0,0,0,0,0,7,0,5,0
23,T1,28-May-15,2015,4,LF,Control ,No,5,3,19,0,3,0,65,8,0,0,0,0,0,95,8,30,1.288147381
29,T1,28-May-15,2015,4,LF,Control ,No,1,0,6,1,4,0,10,3,0,0,0,0,0,22,3,12,1.466216211
12,T1,2-Jul-15,2015,5,LF,Control ,No,1,0,3,0,0,0,0,2,0,0,0,0,0,4,2,4,0
21,T1,2-Jul-15,2015,5,LF,Control ,No,2,0,0,0,0,0,6,0,0,0,0,0,0,8,0,2,4.098096063
23,T1,2-Jul-15,2015,5,LF,Control ,No,0,0,1,0,0,0,6,1,0,0,0,0,0,7,1,1,2.679547002
29,T1,2-Jul-15,2015,5,LF,Control ,No,0,0,0,0,0,0,7,0,0,0,0,0,2,7,2,0,2.259214355
15,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,1.179988357
16,T2,27-Jun-14,2014,1,GM,Control ,No,1,0,0,1,0,0,15,0,0,0,0,0,0,17,0,2,0
18,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,2,1,0,0,6,0,0,0,0,0,0,9,0,3,0.293767203
25,T2,27-Jun-14,2014,1,GM,Control ,No,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.293825536
15,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,1,1,12,0,2,1,0,0,0,0,0,16,1,14,0.292027906
16,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0.68870562
18,T2,30-Jul-14,2014,2,GM,Control ,No,1,0,0,2,1,0,9,0,0,0,0,0,0,13,0,4,0.891209837
25,T2,30-Jul-14,2014,2,GM,Control ,No,0,0,3,0,1,0,7,0,0,0,0,0,0,11,0,4,0.882879117
15,T2,28-Aug-14,2014,3,GM,Control ,No,0,0,9,0,3,0,0,0,0,0,0,0,0,12,0,12,0.584875353
